
l: 00000023,	0000002,	0000003,	1,	0xFFFF00
l: 00000026,	0000002,	0000006,	1,	0xFFFF00
l: 00000034,	0000003,	0000004,	1,	0xFFFF00
l: 00000037,	0000003,	0000007,	1,	0xFFFF00
l: 00000048,	0000004,	0000008,	1,	0xFFFF00
l: 00000056,	0000005,	0000006,	1,	0xFFFF00
l: 00000058,	0000005,	0000008,	1,	0xFFFF00
l: 00000067,	0000006,	0000007,	1,	0xFFFF00
l: 00000078,	0000007,	0000008,	1,	0xFFFF00
l: 01000012,	0100001,	0100002,	1,	0x00FFFF
l: 01000014,	0100001,	0100004,	1,	0x00FFFF
l: 01000015,	0100001,	0100005,	1,	0x00FFFF
l: 01000023,	0100002,	0100003,	1,	0x00FFFF
l: 01000026,	0100002,	0100006,	1,	0x00FFFF
l: 01000034,	0100003,	0100004,	1,	0x00FFFF
l: 01000037,	0100003,	0100007,	1,	0x00FFFF
l: 01000048,	0100004,	0100008,	1,	0x00FFFF
l: 01000056,	0100005,	0100006,	1,	0x00FFFF
l: 01000058,	0100005,	0100008,	1,	0x00FFFF
l: 01000067,	0100006,	0100007,	1,	0x00FFFF
l: 01000078,	0100007,	0100008,	1,	0x00FFFF
l: 91000012,	9100001,	9100002,	1,	0x00FFFF
l: 91000014,	9100001,	9100004,	1,	0x00FFFF
l: 91000015,	9100001,	9100005,	1,	0x00FFFF
l: 91000023,	9100002,	9100003,	1,	0x00FFFF
l: 91000026,	9100002,	9100006,	1,	0x00FFFF
l: 91000034,	9100003,	9100004,	1,	0x00FFFF
l: 91000037,	9100003,	9100007,	1,	0x00FFFF
l: 91000048,	9100004,	9100008,	1,	0x00FFFF
l: 91000056,	9100005,	9100006,	1,	0x00FFFF
l: 91000058,	9100005,	9100008,	1,	0x00FFFF
l: 91000067,	9100006,	9100007,	1,	0x00FFFF
l: 91000078,	9100007,	9100008,	1,	0x00FFFF
l: 00010012,	0001001,	0001002,	1,	0x00FFFF
l: 00010014,	0001001,	0001004,	1,	0x00FFFF
l: 00010015,	0001001,	0001005,	1,	0x00FFFF
l: 00010023,	0001002,	0001003,	1,	0x00FFFF
l: 00010026,	0001002,	0001006,	1,	0x00FFFF
l: 00010034,	0001003,	0001004,	1,	0x00FFFF
l: 00010037,	0001003,	0001007,	1,	0x00FFFF
l: 00010048,	0001004,	0001008,	1,	0x00FFFF
l: 00010056,	0001005,	0001006,	1,	0x00FFFF
l: 00010058,	0001005,	0001008,	1,	0x00FFFF
l: 00010067,	0001006,	0001007,	1,	0x00FFFF
l: 00010078,	0001007,	0001008,	1,	0x00FFFF
l: 00910012,	0091001,	0091002,	1,	0x00FFFF
l: 00910014,	0091001,	0091004,	1,	0x00FFFF
l: 00910015,	0091001,	0091005,	1,	0x00FFFF
l: 00910023,	0091002,	0091003,	1,	0x00FFFF
l: 00910026,	0091002,	0091006,	1,	0x00FFFF
l: 00910034,	0091003,	0091004,	1,	0x00FFFF
l: 00910037,	0091003,	0091007,	1,	0x00FFFF
l: 00910048,	0091004,	0091008,	1,	0x00FFFF
l: 00910056,	0091005,	0091006,	1,	0x00FFFF
l: 00910058,	0091005,	0091008,	1,	0x00FFFF
l: 00910067,	0091006,	0091007,	1,	0x00FFFF
l: 00910078,	0091007,	0091008,	1,	0x00FFFF
l: 01010012,	0101001,	0101002,	1,	0x00FFFF
l: 01010014,	0101001,	0101004,	1,	0x00FFFF
l: 01010015,	0101001,	0101005,	1,	0x00FFFF
l: 01010023,	0101002,	0101003,	1,	0x00FFFF
l: 01010026,	0101002,	0101006,	1,	0x00FFFF
l: 01010034,	0101003,	0101004,	1,	0x00FFFF
l: 01010037,	0101003,	0101007,	1,	0x00FFFF
l: 01010048,	0101004,	0101008,	1,	0x00FFFF
l: 01010056,	0101005,	0101006,	1,	0x00FFFF
l: 01010058,	0101005,	0101008,	1,	0x00FFFF
l: 01010067,	0101006,	0101007,	1,	0x00FFFF
l: 01010078,	0101007,	0101008,	1,	0x00FFFF
l: 91910012,	9191001,	9191002,	1,	0x00FFFF
l: 91910014,	9191001,	9191004,	1,	0x00FFFF
l: 91910015,	9191001,	9191005,	1,	0x00FFFF
l: 91910023,	9191002,	9191003,	1,	0x00FFFF
l: 91910026,	9191002,	9191006,	1,	0x00FFFF
l: 91910034,	9191003,	9191004,	1,	0x00FFFF
l: 91910037,	9191003,	9191007,	1,	0x00FFFF
l: 91910048,	9191004,	9191008,	1,	0x00FFFF
l: 91910056,	9191005,	9191006,	1,	0x00FFFF
l: 91910058,	9191005,	9191008,	1,	0x00FFFF
l: 91910067,	9191006,	9191007,	1,	0x00FFFF
l: 91910078,	9191007,	9191008,	1,	0x00FFFF
l: 91010012,	9101001,	9101002,	1,	0x00FFFF
l: 91010014,	9101001,	9101004,	1,	0x00FFFF
l: 91010015,	9101001,	9101005,	1,	0x00FFFF
l: 91010023,	9101002,	9101003,	1,	0x00FFFF
l: 91010026,	9101002,	9101006,	1,	0x00FFFF
